,0,1,accuracy,macro avg,weighted avg
precision,1.0,0.659850595838027,0.7720887921377327,0.8299252979190135,0.8496126536939185
recall,0.5914680604114301,1.0,0.7720887921377327,0.795734030205715,0.7720887921377327
f1-score,0.7432986877016211,0.79507227637543,0.7720887921377327,0.7691854820385255,0.7661889015727268
support,140437.0,111297.0,0.7720887921377327,251734.0,251734.0
