,0,1,accuracy,macro avg,weighted avg
precision,0.3888888888888889,0.2857142857142857,0.36,0.3373015873015873,0.3352380952380953
recall,0.5833333333333334,0.15384615384615385,0.36,0.3685897435897436,0.36
f1-score,0.4666666666666666,0.2,0.36,0.3333333333333333,0.32799999999999996
support,48.0,52.0,0.36,100.0,100.0
