,0,1,accuracy,macro avg,weighted avg
precision,0.3550096530464697,0.0,0.3550096530464697,0.17750482652323485,0.1260318537561748
recall,1.0,0.0,0.3550096530464697,0.5,0.3550096530464697
f1-score,0.5239957549354739,0.0,0.3550096530464697,0.26199787746773695,0.18602355115746555
support,89368.0,162366.0,0.3550096530464697,251734.0,251734.0
,,,,
