,0,1,accuracy,macro avg,weighted avg
precision,0.06010222489476849,8.960573476702509e-05,0.04001,0.030095915314767758,0.022579334764977574
recall,0.1066844563042028,4.798080767692923e-05,0.04001,0.053366218555939864,0.04001
f1-score,0.07688831193807395,6.249674496119994e-05,0.04001,0.038475404341517576,0.028852970988580206
support,37475.0,62525.0,0.04001,100000.0,100000.0
