,0,1,accuracy,macro avg,weighted avg
precision,0.94215312478746,0.13700168444693991,0.9364567360785591,0.5395774046171999,0.8951267333293071
recall,0.9935156161008476,0.016595252669523226,0.9364567360785591,0.5050554343851854,0.9364567360785591
f1-score,0.9671529249420926,0.029604464935695223,0.9364567360785591,0.4983786949388939,0.9123936353448429
support,237031.0,14703.0,0.9364567360785591,251734.0,251734.0
