,0,1,accuracy,macro avg,weighted avg
precision,0.21788473679463669,0.0,0.14495,0.10894236839731834,0.10451712939301927
recall,0.3021743209155913,0.0,0.14495,0.15108716045779566,0.14495
f1-score,0.2531988296432159,0.0,0.14495,0.12659941482160794,0.12145694659155422
support,47969.0,52031.0,0.14495,100000.0,100000.0
