,0,1,accuracy,macro avg,weighted avg
precision,0.4782330735509011,0.4217032967032967,0.47741,0.4499681851270989,0.44882006535932406
recall,0.982446997018908,0.011800657300455498,0.47741,0.4971238271596818,0.47741
f1-score,0.643314927685598,0.02295884981397349,0.47741,0.3331368887497857,0.32053745680821305
support,47969.0,52031.0,0.47741,100000.0,100000.0
