,0,1,accuracy,macro avg,weighted avg
precision,1.0,0.659877981537148,0.7721165992674808,0.829938990768574,0.8496247614988041
recall,0.5915179048256514,1.0,0.7721165992674808,0.7957589524128257,0.7721165992674808
f1-score,0.7433380460654653,0.7950921560222889,0.7721165992674808,0.769215101043877,0.7662196479780579
support,140437.0,111297.0,0.7721165992674808,251734.0,251734.0
