,0,1,accuracy,macro avg,weighted avg
precision,0.37475374753747537,1.0,0.37476,0.6873768737687377,0.7656889668896689
recall,1.0,1.599360255897641e-05,0.37476,0.5000079968012795,0.37476
f1-score,0.5451940003200605,3.198669353548923e-05,0.37476,0.27261299350679796,0.20433145130007574
support,37475.0,62525.0,0.37476,100000.0,100000.0
